"PLJV_Species_List","Common_Name","Prevalence","Average_Count","Coefficient_of_Variation","Effort","Active_Transects"
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","American Coot",0,0,0,NA,0
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","American White Pelican",0,0,0,NA,0
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","American Wigeon",0,0,0,NA,0
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Black Tern",0,0,0,NA,0
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Black-crowned Night-Heron",0,0,0,NA,0
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Blue-winged Teal",0.052,3,0.809,0.844,4
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Canvasback",0,0,0,NA,0
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Cattle Egret",0.013,3,NA,0.688,1
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Cinnamon Teal",0,0,0,NA,0
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Double-crested Cormorant",0,0,0,NA,0
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Eared Grebe",0,0,0,NA,0
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Forster's Tern",0,0,0,NA,0
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Gadwall",0.013,13,NA,1,1
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Great Blue Heron",0.052,1,0.4,0.859,4
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Green-winged Teal",0.013,8,NA,1,1
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Lesser Scaup",0,0,0,NA,0
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Mallard",0.104,5,0.886,0.984,8
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Northern Pintail",0.013,7,NA,1,1
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Northern Shoveler",0.026,13,0.218,1,2
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Pied-billed Grebe",0,0,0,NA,0
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Redhead",0.117,0,NA,0.812,9
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Ruddy Duck",0.013,42,NA,1,1
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Western Grebe",0,0,0,NA,0
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","White-faced Ibis",0.013,11,NA,0.438,1
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","American Avocet",0.013,2,NA,1,1
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Spotted Sandpiper",0,0,0,NA,0
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Willet",0,0,0,NA,0
"PIF (Landbirds) [Trend 3 List]","Burrowing Owl",0.104,2,0.802,0.859,8
"PIF (Landbirds) [Trend 3 List]","Great Horned Owl",0.065,1,0.391,0.988,5
"PIF (Landbirds) [Trend 3 List]","Greater Prairie-Chicken",0,0,0,NA,0
"PIF (Landbirds) [Trend 3 List]","Greater Roadrunner",0.091,4,0.69,0.812,7
"PIF (Landbirds) [Trend 3 List]","Northern Bobwhite",0.532,8,0.785,0.87,41
"PIF (Landbirds) [Trend 3 List]","Orchard Oriole",0.052,1,0.4,0.75,4
"PIF (Landbirds) [Trend 3 List]","Painted Bunting",0.091,16,0.983,0.795,7
"PIF (Landbirds) [Trend 3 List]","Prairie Falcon",0,0,0,NA,0
"PIF (Landbirds) [Trend 3 List]","Red-headed Woodpecker",0.117,3,1.046,0.812,9
"PIF (Landbirds) [Trend 3 List]","Wild Turkey",0.065,2,0.632,0.938,5
"SGCN/SWAP (Waterbirds) [Tier 2]","Clark's Grebe",0,0,0,NA,0
"SGCN/SWAP (Waterbirds) [Tier 2]","King Rail",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Bobolink",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Common Poorwill",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Lewis's Woodpecker",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Black-and-White Warbler",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Black-billed Magpie",0.013,3,NA,1,1
"SGCN/SWAP (Landbirds) [Tier 2]","Brewer's Blackbird",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Brown Creeper",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Carolina Wren",0.026,3,0.471,0.938,2
"SGCN/SWAP (Landbirds) [Tier 2]","Cassin's Finch",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Cassin's Kingbird",0.013,5,NA,1,1
"SGCN/SWAP (Landbirds) [Tier 2]","Clark's Nutcracker",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Cordilleran Flycatcher",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Dark-eyed Junco",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Gray Vireo",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Juniper Titmouse",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Kentucky Warbler",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Lazuli Bunting",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Louisiana Waterthrush",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Merlin",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Olive-sided Flycatcher",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Pileated Woodpecker",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Pine Siskin",0.013,3,NA,0.438,1
"SGCN/SWAP (Landbirds) [Tier 2]","Pinyon Jay",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Plumbeous Vireo",0,0,0,NA,0
