"","det","tod","doy","obs","intensity"
"1","0000000000000000",466,143,"TSWIF",16
"2","000000..........",355,144,"TSWIF",6
"3","0000000000000000",424,137,"RROUS",16
"4","0000............",326,143,"TBRO",4
"5","00000000000000..",478,148,"TBRO",14
"6","000000000000....",393,146,"TBRO",12
"7","0000000.........",573,147,"TBRO",7
"8","0000000.........",419,142,"TBRO",7
"9","0110111.........",348,142,"TSWIF",7
"10","000000000000000.",435,140,"CCARL",15
"11","000000000000....",383,139,"TSWIF",12
"12","0111010100010001",402,141,"TSWIF",16
"13","000000..........",420,140,"TSWIF",6
"14","0000110011101010",401,138,"TSWIF",16
"15","000000000000....",413,129,"BWOID",12
"16","00000000........",394,138,"CCARL",8
"17","00000000000.....",401,130,"RROUS",11
"18","00000000000000..",426,139,"CCARL",14
"19","000001010101....",426,132,"ABRAD",12
"20","00000000000000..",463,136,"JSEUF",14
"21","1110111011111100",462,144,"ABRAD",16
"22","0000000000000000",450,131,"ABRAD",16
"23","1010111111101111",422,141,"TBRO",16
"24","0001100110011110",398,145,"RROUS",16
"25","0000000000......",414,137,"JSEUF",10
"26","00000000........",402,141,"JSEUF",8
"27","01110000........",375,138,"MAMCL",8
"28","1111111111111111",416,145,"MAMCL",16
"29","1100100000000000",444,140,"AVANB",16
"30","000000..........",380,135,"MBENT",6
"31","101100..........",429,129,"AVANB",6
"32","11100...........",376,141,"AVANB",5
"33","00000000000000..",415,143,"MBENT",14
"34","00000...........",343,142,"MAMCL",5
"35","11111111........",507,139,"AVANB",8
"36","1100101101110011",477,131,"AVANB",16
"37","1000001001010...",466,142,"AVANB",13
"38","0000100000000000",400,141,"MAMCL",16
"39","1111111111111...",444,129,"JSEUF",13
"40","1110111111111001",407,140,"MAMCL",16
"41","00011111........",386,143,"AVANB",8
"42","0111011101110111",458,150,"JSEUF",16
"43","0000000000000000",445,138,"JSEUF",16
"44","000000000000....",448,144,"JSEUF",12
"45","00000000000.....",433,136,"MBENT",11
"46","000001000000....",446,140,"JSEUF",12
"47","1011111111111...",465,145,"JSEUF",13
"48","11111111111111..",468,146,"JSEUF",14
"49","1011111111111111",478,144,"MAMCL",16
"50","0000000000000...",421,142,"MBENT",13
"51","0000000000000...",452,139,"MBENT",13
"52","000000000000....",431,138,"MBENT",12
"53","000000..........",396,136,"AVANB",6
"54","0000000000000...",426,141,"MBENT",13
"55","10000000........",384,143,"MAMCL",8
"56","00000000........",349,140,"MBENT",8
"57","000000000000....",471,138,"AVANB",12
"58","0000000000000000",409,136,"TSWIF",16
"59","100100000000000.",390,145,"CCARL",15
"60","0000000000......",381,130,"TSWIF",10
"61","0001000000000000",408,144,"TBRO",16
"62","0111111111111...",410,136,"RROUS",13
"63","001101110010100.",402,143,"CCARL",15
"64","0000001000......",399,130,"CCARL",10
"65","00000100000000..",486,136,"CCARL",14
"66","1111............",402,142,"RJOHN",4
"67","111110..........",355,144,"RJOHN",6
"68","1000110.........",360,143,"DHORT",7
"69","1111............",349,143,"JEDEL",4
"70","1111110101111111",412,142,"JEDEL",16
"71","11111...........",394,145,"RJOHN",5
"72","0000000000......",394,143,"RJOHN",10
"73","0011011.........",343,143,"ALADI",7
"74","000011111111....",408,136,"JEDEL",12
"75","1000100111111...",403,128,"BWOID",13
"76","0011011011001100",418,130,"JEDEL",16
"77","00000000........",422,128,"RJOHN",8
