"PLJV_Species_List","Common_Name","Prevalence","Average_Count","Coefficient_of_Variation","Effort","Active_Transects"
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","American Coot",0.058,597,1.728,0.896,3
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","American White Pelican",0,0,0,NA,0
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","American Wigeon",0.019,1,NA,0.875,1
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Black Tern",0,0,0,NA,0
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Black-crowned Night-Heron",0,0,0,NA,0
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Blue-winged Teal",0.115,4,0.908,0.823,6
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Canvasback",0,0,0,NA,0
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Cattle Egret",0,0,0,NA,0
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Cinnamon Teal",0.019,2,NA,0.875,1
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Double-crested Cormorant",0,0,0,NA,0
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Eared Grebe",0,0,0,NA,0
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Forster's Tern",0,0,0,NA,0
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Gadwall",0.038,4,1.01,0.844,2
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Great Blue Heron",0.058,3,1.155,0.896,3
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Green-winged Teal",0.038,1,0,0.688,2
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Lesser Scaup",0.019,3,NA,0.875,1
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Mallard",0.192,4,0.644,0.8,10
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Northern Pintail",0.019,1,NA,0.875,1
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Northern Shoveler",0.058,4,0.81,0.896,3
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Pied-billed Grebe",0.038,2,0.471,0.844,2
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Redhead",0.019,2,NA,0.875,1
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Ruddy Duck",0.038,28,1.054,0.938,2
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Western Grebe",0.019,73,NA,0.875,1
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","White-faced Ibis",0.038,29,1.219,0.844,2
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","American Avocet",0.077,4,0.909,0.797,4
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Spotted Sandpiper",0.077,1,0,0.891,4
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Willet",0,0,0,NA,0
"PIF (Landbirds) [Trend 3 List]","Burrowing Owl",0.019,2,NA,0.875,1
"PIF (Landbirds) [Trend 3 List]","Great Horned Owl",0.038,1,0,0.906,2
"PIF (Landbirds) [Trend 3 List]","Greater Prairie-Chicken",0,0,0,NA,0
"PIF (Landbirds) [Trend 3 List]","Greater Roadrunner",0.058,1,0.433,0.833,3
"PIF (Landbirds) [Trend 3 List]","Northern Bobwhite",0.404,7,1.178,0.863,21
"PIF (Landbirds) [Trend 3 List]","Orchard Oriole",0,0,0,NA,0
"PIF (Landbirds) [Trend 3 List]","Painted Bunting",0.038,2,0.471,0.906,2
"PIF (Landbirds) [Trend 3 List]","Prairie Falcon",0.019,1,NA,1,1
"PIF (Landbirds) [Trend 3 List]","Red-headed Woodpecker",0,0,0,NA,0
"PIF (Landbirds) [Trend 3 List]","Wild Turkey",0,0,0,NA,0
"SGCN/SWAP (Waterbirds) [Tier 2]","Clark's Grebe",0,0,0,NA,0
"SGCN/SWAP (Waterbirds) [Tier 2]","King Rail",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Bobolink",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Common Poorwill",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Lewis's Woodpecker",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Black-and-White Warbler",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Black-billed Magpie",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Brewer's Blackbird",0.019,25,NA,0.5,1
"SGCN/SWAP (Landbirds) [Tier 2]","Brown Creeper",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Carolina Wren",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Cassin's Finch",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Cassin's Kingbird",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Clark's Nutcracker",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Cordilleran Flycatcher",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Dark-eyed Junco",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Gray Vireo",0,0,0,NA,0
