"PLJV_Species_List","Common_Name","Prevalence","Average_Count","Coefficient_of_Variation","Effort","Active_Transects"
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","American Coot",0.045,6,1.324,0.792,3
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","American White Pelican",0.03,3,0.943,0.906,2
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","American Wigeon",0,0,0,NA,0
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Black Tern",0,0,0,NA,0
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Black-crowned Night-Heron",0,0,0,NA,0
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Blue-winged Teal",0.045,3,1.155,0.896,3
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Canvasback",0,0,0,NA,0
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Cattle Egret",0.045,14,0.145,0.812,3
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Cinnamon Teal",0,0,0,NA,0
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Double-crested Cormorant",0.075,2,0.913,0.925,5
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Eared Grebe",0,0,0,NA,0
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Forster's Tern",0,0,0,NA,0
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Gadwall",0.015,1,NA,1,1
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Great Blue Heron",0.358,3,1.57,0.896,24
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Green-winged Teal",0,0,0,NA,0
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Lesser Scaup",0,0,0,NA,0
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Mallard",0.209,2,0.62,0.884,14
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Northern Pintail",0,0,0,NA,0
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Northern Shoveler",0.045,2,0.346,0.917,3
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Pied-billed Grebe",0,0,0,NA,0
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Redhead",0.224,0,NA,0.908,15
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Ruddy Duck",0,0,0,NA,0
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Western Grebe",0,0,0,NA,0
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","White-faced Ibis",0,0,0,NA,0
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","American Avocet",0,0,0,NA,0
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Spotted Sandpiper",0.075,1,0.373,0.925,5
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Willet",0,0,0,NA,0
"PIF (Landbirds) [Trend 3 List]","Burrowing Owl",0.03,2,0.471,1,2
"PIF (Landbirds) [Trend 3 List]","Great Horned Owl",0.134,1,0.503,0.819,9
"PIF (Landbirds) [Trend 3 List]","Greater Prairie-Chicken",0.015,1,NA,0.938,1
"PIF (Landbirds) [Trend 3 List]","Greater Roadrunner",0.269,4,0.883,0.844,18
"PIF (Landbirds) [Trend 3 List]","Northern Bobwhite",0.582,8,0.887,0.84,39
"PIF (Landbirds) [Trend 3 List]","Orchard Oriole",0.045,2,0.655,1,3
"PIF (Landbirds) [Trend 3 List]","Painted Bunting",0.254,11,0.682,0.794,17
"PIF (Landbirds) [Trend 3 List]","Prairie Falcon",0,0,0,NA,0
"PIF (Landbirds) [Trend 3 List]","Red-headed Woodpecker",0.224,6,1.049,0.908,15
"PIF (Landbirds) [Trend 3 List]","Wild Turkey",0.373,3,1.232,0.885,25
"SGCN/SWAP (Waterbirds) [Tier 2]","Clark's Grebe",0,0,0,NA,0
"SGCN/SWAP (Waterbirds) [Tier 2]","King Rail",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Bobolink",0.03,2,0.707,1,2
"SGCN/SWAP (Landbirds) [Tier 2]","Common Poorwill",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Lewis's Woodpecker",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Black-and-White Warbler",0.015,0,NA,1,1
"SGCN/SWAP (Landbirds) [Tier 2]","Black-billed Magpie",0.149,4,0.857,0.988,10
"SGCN/SWAP (Landbirds) [Tier 2]","Brewer's Blackbird",0.075,2,0.813,0.95,5
"SGCN/SWAP (Landbirds) [Tier 2]","Brown Creeper",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Carolina Wren",0.104,2,0.788,0.83,7
"SGCN/SWAP (Landbirds) [Tier 2]","Cassin's Finch",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Cassin's Kingbird",0.045,7,1.472,1,3
"SGCN/SWAP (Landbirds) [Tier 2]","Clark's Nutcracker",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Cordilleran Flycatcher",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Dark-eyed Junco",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Gray Vireo",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Juniper Titmouse",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Kentucky Warbler",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Lazuli Bunting",0.06,2,0.385,1,4
"SGCN/SWAP (Landbirds) [Tier 2]","Louisiana Waterthrush",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Merlin",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Olive-sided Flycatcher",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Pileated Woodpecker",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Pine Siskin",0.06,1,0.4,0.906,4
"SGCN/SWAP (Landbirds) [Tier 2]","Pinyon Jay",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Plumbeous Vireo",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Prothonotary Warbler",0,0,0,NA,0
"SGCN/SWAP (Landbirds) [Tier 2]","Purple Martin",0,0,0,NA,0
