"PLJV_Species_List","Common_Name","Prevalence","Average_Count","Coefficient_of_Variation","Effort","Active_Transects","Habitat_Median","Habitat_Classes","Habitat_CV"
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","American Coot",0.023,260,2.598,0.866,7,"GR",4,0.888746843613587
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","American White Pelican",0.013,6,1.233,0.812,4,"GR",3,0.5
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","American Wigeon",0.003,1,NA,0.875,1,"GR",1,NA
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Black Tern",0,0,0,NA,0,NA,0,NA
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Black-crowned Night-Heron",0.003,1,NA,1,1,"RI",1,NA
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Blue-winged Teal",0.063,3,0.916,0.836,19,"GR",6,0.558950834602614
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Canvasback",0,0,0,NA,0,NA,0,NA
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Cattle Egret",0.013,12,0.514,0.781,4,"AR",3,0.686348585024614
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Cinnamon Teal",0.007,2,0,0.688,2,"GR",1,NA
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Double-crested Cormorant",0.02,3,0.787,0.875,6,"RI",5,0.559016994374947
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Eared Grebe",0,0,0,NA,0,NA,0,NA
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Forster's Tern",0,0,0,NA,0,NA,0,NA
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Gadwall",0.013,5,1.082,0.922,4,"GR",3,0.346410161513775
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Great Blue Heron",0.157,2,1.39,0.883,47,"GR",13,1.27169801893265
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Green-winged Teal",0.013,3,1.273,0.844,4,"RI",4,0
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Lesser Scaup",0.003,3,NA,0.875,1,"GR",2,0
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Mallard",0.197,3,0.865,0.873,59,"AR",8,1.16708593570569
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Northern Pintail",0.007,4,1.061,0.938,2,"AR",2,0.471404520791032
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Northern Shoveler",0.03,5,1.03,0.938,9,"PL",5,0.712609640686961
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Pied-billed Grebe",0.01,1,0.433,0.75,3,"AR",2,0.707106781186548
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Redhead",0.143,0,6.557,0.875,43,"GR",11,1.21698417347407
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Ruddy Duck",0.013,25,0.931,0.969,4,"GR",4,0.841319754933374
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Western Grebe",0.007,37,1.376,0.938,2,"GR",3,1.38924439894498
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","White-faced Ibis",0.01,23,1.177,0.708,3,"GR",4,0.425523159002817
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","American Avocet",0.017,4,0.919,0.838,5,"PL",3,0.7806247497998
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Spotted Sandpiper",0.033,1,0.351,0.919,10,"RI",6,0.637661015154552
"PIF (Waterbirds and Shorebirds) [Trend 3 List]","Willet",0,0,0,NA,0,NA,0,NA
"PIF (Landbirds) [Trend 3 List]","Burrowing Owl",0.067,3,1.666,0.866,20,"GR",2,1.23367566079355
"PIF (Landbirds) [Trend 3 List]","Great Horned Owl",0.077,1,0.549,0.878,23,"GR",6,0.677772085586298
"PIF (Landbirds) [Trend 3 List]","Greater Prairie-Chicken",0.017,13,1.105,0.888,5,"GR",3,1.37661847320453
"PIF (Landbirds) [Trend 3 List]","Greater Roadrunner",0.1,4,0.865,0.846,30,"GR",13,1.02889634382104
"PIF (Landbirds) [Trend 3 List]","Northern Bobwhite",0.36,8,0.9,0.862,108,"GR",14,1.46207575462907
"PIF (Landbirds) [Trend 3 List]","Orchard Oriole",0.053,2,0.545,0.82,16,"GR",5,0.900906179601652
"PIF (Landbirds) [Trend 3 List]","Painted Bunting",0.087,11,0.903,0.803,26,"PJ",11,0.780688224555403
"PIF (Landbirds) [Trend 3 List]","Prairie Falcon",0.01,1,0,0.917,3,"GR",1,NA
"PIF (Landbirds) [Trend 3 List]","Red-headed Woodpecker",0.14,6,1.112,0.875,42,"GR",11,1.20611119767842
"PIF (Landbirds) [Trend 3 List]","Wild Turkey",0.143,3,1.111,0.897,43,"GR",14,1.45665576288437
"SGCN/SWAP (Waterbirds) [Tier 2]","Clark's Grebe",0,0,0,NA,0,NA,0,NA
"SGCN/SWAP (Waterbirds) [Tier 2]","King Rail",0,0,0,NA,0,NA,0,NA
"SGCN/SWAP (Landbirds) [Tier 2]","Bobolink",0.013,2,0.667,1,4,"AR",3,0.5
"SGCN/SWAP (Landbirds) [Tier 2]","Common Poorwill",0,0,0,NA,0,NA,0,NA
"SGCN/SWAP (Landbirds) [Tier 2]","Lewis's Woodpecker",0,0,0,NA,0,NA,0,NA
"SGCN/SWAP (Landbirds) [Tier 2]","Black-and-White Warbler",0.007,0,NA,1,2,"RI",1,NA
"SGCN/SWAP (Landbirds) [Tier 2]","Black-billed Magpie",0.073,3,0.943,0.969,22,"GR",10,1.36819514556363
"SGCN/SWAP (Landbirds) [Tier 2]","Brewer's Blackbird",0.06,6,1.497,0.861,18,"AR",7,1.10348859297681
"SGCN/SWAP (Landbirds) [Tier 2]","Brown Creeper",0,0,0,NA,0,NA,0,NA
"SGCN/SWAP (Landbirds) [Tier 2]","Carolina Wren",0.03,2,0.688,0.854,9,"GR",7,0.350438322025231
"SGCN/SWAP (Landbirds) [Tier 2]","Cassin's Finch",0,0,0,NA,0,NA,0,NA
"SGCN/SWAP (Landbirds) [Tier 2]","Cassin's Kingbird",0.033,5,1.218,0.925,10,"GR",3,1.33917453296875
"SGCN/SWAP (Landbirds) [Tier 2]","Clark's Nutcracker",0,0,0,NA,0,NA,0,NA
"SGCN/SWAP (Landbirds) [Tier 2]","Cordilleran Flycatcher",0.003,1,NA,1,1,"DW",1,NA
"SGCN/SWAP (Landbirds) [Tier 2]","Dark-eyed Junco",0,0,0,NA,0,NA,0,NA
"SGCN/SWAP (Landbirds) [Tier 2]","Gray Vireo",0,0,0,NA,0,NA,0,NA
